Model,Logistic Regression,K Nearest Neighbour,Support Vector Machine,Naive Bayes,Decision Tree,Random Forest,Multi-layer Perceptron
Accuracy,0.8678414096916299,0.8546255506607929,0.920704845814978,0.8325991189427313,0.960352422907489,0.960352422907489,0.960352422907489
Error Rate,0.13215859030837007,0.14537444933920707,0.07929515418502198,0.1674008810572687,0.03964757709251099,0.03964757709251099,0.03964757709251099
Sensitivity,0.7727272727272727,0.7272727272727273,0.8333333333333334,0.6515151515151515,0.8636363636363636,0.8787878787878788,0.8636363636363636
Specificity,0.906832298136646,0.906832298136646,0.9565217391304348,0.906832298136646,1.0,0.9937888198757764,1.0
Precision,0.7727272727272727,0.7619047619047619,0.8870967741935484,0.7413793103448276,1.0,0.9830508474576272,1.0
F-Measure,0.7727272727272727,0.7441860465116279,0.859375,0.6935483870967741,0.9268292682926829,0.9279999999999999,0.9268292682926829
MCC,0.6795595708639187,0.6430635624682878,0.8049974422519007,0.5813425261461526,0.9043862219774657,0.9034577974250645,0.9043862219774657
10-fold CV,0.8466198419666375,0.8672739244951713,0.9261852502194909,0.8113037752414398,0.9571334503950834,0.9527436347673397,0.9439201053555749
AUC,0.9144080557124036,0.9309712027103332,0.9429230190099755,0.8950216450216449,0.9529926595143987,0.9858836815358555,0.9709674383587428
